Category: All categories

Week,dodge coin: (United States)
2020-09-27,<1
2020-10-04,<1
2020-10-11,<1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,0
2020-11-15,2
2020-11-22,2
2020-11-29,2
2020-12-06,1
2020-12-13,1
2020-12-20,4
2020-12-27,8
2021-01-03,12
2021-01-10,5
2021-01-17,3
2021-01-24,95
2021-01-31,40
2021-02-07,46
2021-02-14,16
2021-02-21,9
2021-02-28,5
2021-03-07,9
2021-03-14,6
2021-03-21,5
2021-03-28,5
2021-04-04,6
2021-04-11,100
2021-04-18,63
2021-04-25,26
2021-05-02,81
2021-05-09,68
2021-05-16,28
2021-05-23,17
2021-05-30,14
2021-06-06,9
2021-06-13,7
2021-06-20,13
2021-06-27,7
2021-07-04,6
2021-07-11,6
2021-07-18,6
2021-07-25,6
2021-08-01,4
2021-08-08,6
2021-08-15,9
2021-08-22,5
2021-08-29,6
2021-09-05,5
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,8
2021-10-10,5
2021-10-17,6
2021-10-24,13
2021-10-31,7
2021-11-07,8
2021-11-14,5
2021-11-21,6
2021-11-28,5
