institution,city,state,class,sector,enroll_men,enroll_women,sport,partic_men,partic_women,expense_men,expense_women,revenue_men,revenue_women
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Baseball,43,0,253252,0,279387,0
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Basketball,15,16,1296985,1071428,1107100,994674
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Football,97,0,3195179,0,3995980,0
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Golf,7,0,53545,0,62675,0
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Soccer,0,32,0,389994,0,489993
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Softball,0,23,0,271417,0,291417
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Tennis,8,7,103994,173764,104997,143264
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,"Track and Field, Indoor",11,14,92752,176937,69259,277770
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,"Track and Field, Outdoor",11,13,96915,171373,151375,171919
Alabama A & M University,Normal,AL,NCAA Division I-FCS,"Public, 4-year or above",1849,2814,Bowling,0,9,0,105323,0,101324
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Baseball,39,0,942982,0,953223,0
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Basketball,14,15,3672705,1819165,3891022,1881093
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,All Track Combined,0,100,0,1039469,0,1045683
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Football,126,0,11775826,0,12374462,0
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Golf,12,9,424905,439315,431119,445529
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Rifle,0,0,0,0,0,0
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Soccer,36,31,871120,874649,884910,890806
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Softball,0,26,0,891204,0,907361
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Tennis,10,9,371548,476962,377762,483176
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Volleyball,0,16,0,836206,0,842420
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Beach Volleyball,0,18,0,426510,0,432724
University of Alabama at Birmingham,Birmingham,AL,NCAA Division I-FBS,"Public, 4-year or above",3965,6387,Bowling,0,10,0,245442,0,251656
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Baseball,41,0,537217,0,537217,0
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Basketball,19,14,594008,424566,594008,424566
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,All Track Combined,117,76,310121,351285,310121,351285
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Ice Hockey,28,0,1505241,0,1505241,0
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Lacrosse,44,27,472167,497803,472167,497803
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Soccer,28,27,356145,379006,356145,379006
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Softball,0,24,0,592442,0,592442
University of Alabama in Huntsville,Huntsville,AL,NCAA Division II without football,"Public, 4-year or above",3965,2753,Volleyball,0,15,0,380109,0,380109
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Baseball,38,0,615198,0,615198,0
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Basketball,15,17,849103,809788,849103,809788
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,All Track Combined,68,61,346527,499269,346527,499269
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Football,115,0,3427114,0,3427114,0
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Golf,5,9,140666,140306,140666,140306
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Soccer,0,23,0,438562,0,438562
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Softball,0,22,0,421761,0,421761
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Tennis,7,8,141528,189374,141528,189374
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Volleyball,0,18,0,445964,0,445964
Alabama State University,Montgomery,AL,NCAA Division I-FCS,"Public, 4-year or above",1171,2118,Bowling,0,7,0,170989,0,170989
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Baseball,34,0,3648034,0,792708,0
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Basketball,21,21,8387815,3825860,13721815,3825860
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,All Track Combined,93,130,2227714,2849002,229866,2849002
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Football,133,0,55366338,0,61400246,0
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Golf,10,9,1030278,1105640,409844,1105640
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Gymnastics,0,18,0,2377059,0,2377059
The University of Alabama,Tuscaloosa,AL,NCAA Division I-FBS,"Public, 4-year or above",12336,15387,Rowing,0,71,0,2342992,0,2342992
